1024B_1W_16B_1024B_1W_16B,57044912.779894,1432269.926,794080.2162,69170139.4960538,1256234.36,1116990.357589,83410536.3648889,1180243.982,1490462.840737,96949074.6351247,1122783.944,1831250.998457,109698399.491237,1074927.848,2168474.488586,122446288.81459,1039271.096,2555028.194673,133504487.900776,999753.986,3003292.930421,
1024B_1W_16B_1024B_1W_32B,58504086.9154677,1466225.006,806242.713991,70316381.8700466,1275384.926,1163807.881077,84888045.5977801,1199433.62,1555527.295482,98526199.4695631,1139571.764,1939492.626231,111472828.814222,1090936.448,2323010.243766,124442767.375282,1054924.496,2791305.610705,135785209.191479,1015565.006,3368375.217303,
1024B_1W_16B_1024B_1W_64B,61616770.315836,1503142.046,869930.698567,72649136.4544729,1290857.876,1247665.83885,87409588.1396525,1214413.064,1675828.813843,100549641.42919,1146837.818,2094925.288227,113241182.205446,1094934.44,2539943.841531,126231057.356431,1058650.094,3096191.055124,137635917.086625,1019386.286,3819967.52333,
1024B_1W_16B_2048B_1W_16B,61435383.9528385,1392196.526,912119.873988,72580898.2935228,1222746.146,1168380.649296,86516026.6658611,1153645.538,1534373.766247,98887821.3820081,1091196.494,1845172.990796,111604318.630107,1049333.954,2184426.412996,124213488.041174,1016967.242,2556304.512304,136011437.23258,986149.646,3006355.758381,
1024B_1W_16B_2048B_2W_16B,58401333.7712521,1316132.816,824587.254269,71673017.0556093,1198099.412,1133886.445318,85466955.8874573,1132389.188,1461925.739599,98548563.3284007,1080856.55,1776507.253383,110916946.158289,1037532.14,2088978.396532,122655193.569005,1000026.128,2442554.734243,133938529.951494,967624.562,2878627.07627,
1024B_1W_16B_2048B_1W_32B,61916356.2762101,1416937.598,961327.25448,72993426.0665711,1238313.512,1209447.820149,87173937.7635445,1168496.954,1583320.973058,99784175.2869203,1105550.186,1928023.300116,112466642.691417,1061065.826,2308727.378777,125243965.789139,1028349.686,2751521.756976,137014056.992949,995918.594,3322844.086455,
1024B_1W_16B_2048B_2W_32B,58079200.3118792,1317461.948,834913.526727,71700743.2048796,1203415.664,1139466.710303,85855959.3125362,1140629.846,1494168.458409,98832109.7140818,1086369.716,1820207.34211,111078551.961693,1040982.038,2177232.980241,122927144.54947,1003737.098,2597289.113627,134004129.653564,969387.26,3149512.075229,
1024B_1W_16B_2048B_1W_64B,63562593.6943641,1433471.732,1036039.549667,74266737.6853239,1244959.544,1294199.688674,88685270.9449207,1176737.168,1689939.492062,101119615.817841,1110599.594,2069170.238461,113670548.69766,1064225.348,2502173.864243,126357862.798138,1030412.528,3025176.569467,137197455.330624,991338.974,3711345.478073,
1024B_1W_16B_2048B_2W_64B,59304741.2759055,1314204.158,879897.218683,72891611.5078456,1201380.206,1205831.528134,87163472.0065672,1140833.036,1582549.576645,99848582.0742207,1083886.262,1944254.892937,111717374.523943,1035764.432,2361940.692101,123556463.104536,999246.986,2868057.976656,133927011.541449,960693.356,3533165.377439,
1024B_1W_16B_4096B_1W_16B,67587713.3015479,1282175.318,1118611.788754,78749020.589936,1156524.428,1392345.780306,91275016.8193715,1090300.94,1746819.377937,103487425.532766,1041022.268,2036043.577315,115499020.562515,1002971.912,2350161.438472,127375101.471039,972731.294,2685230.294789,138618454.362621,944664.278,3055535.143006,
1024B_1W_16B_4096B_2W_16B,67479380.8965057,1272790.838,1014399.054781,78947067.0705599,1153750.22,1287076.170922,91643920.3708406,1090118.138,1594043.391993,103814428.543178,1040618.798,1907131.24948,115742560.461774,1002039.194,2221128.204196,128062967.470817,975167.426,2557246.54291,139093590.172633,945533.978,2964144.68226,
1024B_1W_16B_4096B_4W_16B,68106518.9259014,1267489.862,957426.09083,79632904.3444304,1151376.98,1225479.602781,92065542.7807343,1085732.468,1531607.326718,104718245.11058,1041662.36,1840376.968313,116788627.573057,1004301.092,2156793.746454,129266904.378759,978425.216,2504884.868943,140338923.309712,948846.824,2925087.310195,
1024B_1W_16B_4096B_1W_32B,66806328.9238296,1306389.146,1030391.858277,78587330.229958,1180657.67,1301275.143661,91804454.7964227,1116451.052,1630163.095123,104413879.333021,1066073.702,1950292.432732,116530645.444316,1024977.506,2274399.148222,128757918.667357,994308.65,2662829.242827,139917121.762216,963083.684,3173541.589385,
1024B_1W_16B_4096B_2W_32B,66494126.8091201,1285383.248,1001958.417447,78989488.3801866,1174997.3,1248808.114748,92363242.7335928,1113987.926,1551630.177866,104552381.08646,1060287.458,1863157.111741,116600775.938,1019595.302,2227463.329955,128940165.17338,990503.09,2632856.116497,140012465.255624,959231.726,3157669.958355,
1024B_1W_16B_4096B_4W_32B,67942966.2877215,1278866.276,983025.336823,80102869.3489328,1167295.292,1237029.67769,93087851.3919239,1104229.532,1528321.832233,105937551.328159,1058830.31,1838606.179686,117733266.651575,1016698.262,2205829.722859,130144209.922847,988726.484,2615310.0396,141139149.033796,957400.064,3153586.341934,
1024B_1W_16B_4096B_1W_64B,67323129.1628211,1316268.326,1162844.007696,79004209.3142555,1186070.876,1389304.980109,92715349.282128,1126101.128,1697118.458345,104952731.088564,1070428.412,2012014.638847,116984036.769445,1027867.016,2373304.250588,128991154.753669,995129.12,2838512.057005,138948681.696166,955829.348,3483147.413041,
1024B_1W_16B_4096B_2W_64B,66391423.3813764,1272534.68,1153251.010599,78988436.1842224,1166305.46,1368496.916422,92633549.1722416,1109873.06,1650692.472417,104284713.976062,1051684.862,1957170.327447,116158640.913113,1010683.904,2356825.37532,128079914.755954,979584.812,2826096.384657,138881548.540318,947685.632,3478123.887184,
1024B_1W_16B_4096B_4W_64B,69192809.8729548,1265738.798,1134106.460415,81430527.7897975,1159432.1,1348987.376373,94408415.1475442,1098342.584,1616605.76814,106838964.107483,1050345.518,1932096.083812,118669539.589681,1009930.196,2329317.924803,130387070.423447,977972.186,2806983.754491,141136413.775948,946374.482,3455680.142685,
